Patent,SMILES,Source,pKa,Size,PDI,EE%
CA2998810A1,CCCCCCCCCCCCCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,,,
CA2998810A1,CCCCCCCCCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,2,6.73,83.9,0.14,93.88
CA2998810A1,CCCCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,3,6.72,97.5,0.2,92.25
CA2998810A1,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC,4,6.33,120.5,0.21,95.1
CA2998810A1,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCC,5,6.84,196.4,0.21,77.07
CA2998810A1,CCCCC/C=C\C\C=C/CCCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,6,6.32,73.1,0.066,97.6
CA2998810A1,CCCCCCCCCN(CCCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,7,6.75,118.9,0.22,86.1
CA2998810A1,CCCCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCn1ccnc1,8,6.64,121,0.15,95.8
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCOC(C)=O,9,4.87,68.5,0.12,75.7
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CC(C)O,10,6.09,102.9,0.18,89.6
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)C[C@@H](C)O,11,5.97,129.6,0.13,92.47
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,12,5.99,116.7,0.17,92.44
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)/OC(CCCCCCCC)\CCCCCCCC)CC(O)CC,13,5.67,79.4,0.13,92.28
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCN(C)C,14,6.58,130.1,0.15,95.24
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCOC,15,5.58,111.1,0.094,92.47
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCOC,16,5.52,119,0.17,91.32
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCOCCN(C)C,17,7.76,85.2,0.24,91.84
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,18,6.56,86.2,0.042,97.5
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,19,6.78,101.1,0.17,97.21
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,20,6.87,111.5,0.13,96.72
CA2998810A1,,21,,53.5,,15.1
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)C1CCCCC1O,22,6.21,80.2,0.22,96
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,23,6.84,104.5,0.09,92.68
CA2998810A1,CCCCCC/C=C\COC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,24,6.71,99.5,0.13,97.16
CA2998810A1,CCCCCCCCCCCOC(=O)CCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,25,6.68,85.8,0.1,95.8
CA2998810A1,CCCCCCCCCOC(=O)CCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,26,6.64,91.9,0.16,97.43
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,27,6.78,82.3,0.18,94.27
CA2998810A1,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OCC1CC1CCCCCC,28,6.04,99.4,0.2,97.03
CA2998810A1,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,29,6,66.8,0.11,96.99
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCOC(=O)C(CCCCCCCC)CCCCCCCC,30,6.75,59.4,0.15,95.69
CA2998810A1,CCCCCCCC/C=C\CCCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,31,6.64,73.9,0.15,95.11
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCC)CCCCCCCC,32,6.75,105.6,0.18,94.87
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCC)CCCCCCCC,33,6.8,107.3,0.13,95.66
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCC)CCCCCCCC,34,6.64,133.8,0.14,92.52
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CC)CCCCCCCC,35,6.85,151.1,0.18,90.82
CA2998810A1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(C)CCCCCCCC,36,7.38,163.5,0.17,81.45
CA2998810A1,,47,,80.6,0.1,96.4
CA2998810A1,CCCCCCCCC(C)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,48,6.68,82.3,0.092,96.55
CA2998810A1,CCCCCCCCC(CC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,49,6.52,73.1,0.11,96.86
CA2998810A1,CCCCCCCCC(CCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,50,6.42,68.4,0.1,97.33
CA2998810A1,,51,,148.8,0.17,89.93
CA2998810A1,,52,,130.5,0.19,93.25
CA2998810A1,,53,,125.4,0.13,95.8
CA2998810A1,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCC(=O)OCCCCCCC,54,6.51,112.9,0.19,96.71
CA2998810A1,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCC(=O)OCC1CC1CCCCCC,55,6.44,91.6,0.16,97.03
CA2998810A1,,56,,112.1,0.17,95.18
CA2998810A1,,57,,128.4,0.16,94.33
CA2998810A1,,58,,130.8,0.14,92.54
CA2998810A1,,59,,237,0.24,94.44
CA2998810A1,CCCC/C=C\CCC(CC/C=C\CCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OCCCCCCCCC,60,6.73,95.1,0.12,97.6
CA2998810A1,CCCC/C=C\CCC(CC/C=C\CCCC)OC(=O)CCCCCCCN(CCO)CCCCCC(=O)OCCCCCCCCCCC,61,6.7,89.1,0.11,97.2
CA2998810A1,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)C1CC1,65,6.36,63.9,0.12,98.2
CA2998810A1,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC1CCC(CCCCC)CC1,66,76.7,76.7,0.12,96.52
CA2998810A1,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCC(=O)OC1CCC(CCCCC)CC1,67,6.38,77,0.13,98
CA2998810A1,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCC(=O)OC1CCC(CCCCC)CC1,68,6.69,76.8,0.14,97.7
